analysis_group,group_value,benchmark_model,benchmark_model_label,n_problems,mean_model_distinct_strategies,mean_aops_distinct_strategies,mean_gap_model_minus_aops,median_gap_model_minus_aops,gap_bootstrap_ci_lower,gap_bootstrap_ci_upper,paired_permutation_stat_mean_gap,paired_permutation_p_two_sided,paired_permutation_method,mean_ratio_model_over_aops,ratio_bootstrap_ci_lower,ratio_bootstrap_ci_upper
rlevel_group,R0,claude-opus-4-6,Claude,55,1.5454545454545454,2.6545454545454548,-1.1090909090909091,-1.0,-1.4181818181818182,-0.8,-1.1090909090909091,0.0,monte_carlo_sign_flip_50000,0.6421212121212121,0.5399848484848483,0.7454545454545455
rlevel_group,R0,deepseek-reasoner,DeepSeek,55,2.036363636363636,2.6545454545454548,-0.6181818181818182,-1.0,-0.8545454545454545,-0.36363636363636365,-0.6181818181818182,6e-05,monte_carlo_sign_flip_50000,0.8672727272727272,0.7503030303030302,1.0018181818181817
rlevel_group,R0,gemini-3.1-pro-preview,Gemini,55,2.3454545454545452,2.6545454545454548,-0.3090909090909091,0.0,-0.5454545454545454,-0.07272727272727272,-0.3090909090909091,0.02292,monte_carlo_sign_flip_50000,1.0036363636363634,0.8775757575757576,1.1518181818181816
rlevel_group,R0,gpt-5.4,GPT,55,1.9636363636363636,2.6545454545454548,-0.6909090909090909,-1.0,-0.9454545454545454,-0.43636363636363634,-0.6909090909090909,0.0,monte_carlo_sign_flip_50000,0.8454545454545456,0.7299924242424242,0.9803030303030302
rlevel_group,R1_or_R2,claude-opus-4-6,Claude,25,1.0,2.84,-1.84,-1.0,-2.4,-1.36,-1.84,0.0,monte_carlo_sign_flip_50000,0.344,0.2253,0.4693333333333333
rlevel_group,R1_or_R2,deepseek-reasoner,DeepSeek,25,1.6,2.84,-1.24,-1.0,-1.68,-0.8,-1.24,4e-05,monte_carlo_sign_flip_50000,0.6186666666666666,0.4879666666666666,0.7546999999999972
rlevel_group,R1_or_R2,gemini-3.1-pro-preview,Gemini,25,2.2,2.84,-0.64,-1.0,-1.08,-0.2,-0.64,0.01582,monte_carlo_sign_flip_50000,0.8733333333333333,0.728,1.0333333333333332
rlevel_group,R1_or_R2,gpt-5.4,GPT,25,1.72,2.84,-1.12,-1.0,-1.64,-0.64,-1.12,0.00026,monte_carlo_sign_flip_50000,0.7086666666666666,0.5553333333333333,0.8759999999999999
