domain,n_problems,mean_aops_total_per_problem,mean_aops_covered_per_problem,mean_gap_union_minus_aops,gap_bootstrap_ci_lower,gap_bootstrap_ci_upper,gap_permutation_p_value,mean_coverage_rate,mean_novel_per_problem,novel_bootstrap_ci_lower,novel_bootstrap_ci_upper,total_novel_in_domain
Algebra,14,2.642857142857143,2.5714285714285716,-0.07142857142857142,-0.21428571428571427,0.0,1.0,0.9821428571428571,0.21428571428571427,0.0,0.5714285714285714,3
Combinatorics,19,2.263157894736842,1.6842105263157894,-0.5789473684210527,-0.8947368421052632,-0.3157894736842105,0.004349782510874456,0.7771929824561403,1.0526315789473684,0.631578947368421,1.5263157894736843,20
Geometry,16,3.3125,2.375,-0.9375,-1.375,-0.5,0.0018999050047497626,0.75,0.4375,0.1875,0.75,7
Number Theory,15,3.0,2.466666666666667,-0.5333333333333333,-0.8666666666666667,-0.26666666666666666,0.014749262536873156,0.84,0.26666666666666666,0.0,0.6,4
Probability,16,2.4375,2.0,-0.4375,-0.8125,-0.125,0.06539673016349183,0.8645833333333333,1.0,0.5,1.5625,16
