domain,N,mean_union_gap,gap_ci_lower,gap_ci_upper,gap_p_value,mean_novel_per_problem,novel_ci_lower,novel_ci_upper
Algebra,14,-0.0714285714285714,-0.2142857142857142,0.0,1.0,0.2142857142857142,0.0,0.5714285714285714
Combinatorics,19,-0.5789473684210527,-0.8947368421052632,-0.3157894736842105,0.0043497825108744,1.0526315789473684,0.631578947368421,1.5263157894736843
Geometry,16,-0.9375,-1.375,-0.5,0.0018999050047497,0.4375,0.1875,0.75
Number Theory,15,-0.5333333333333333,-0.8666666666666667,-0.2666666666666666,0.0147492625368731,0.2666666666666666,0.0,0.6
Probability,16,-0.4375,-0.8125,-0.125,0.0653967301634918,1.0,0.5,1.5625
